AgeMonths,Gender,Weight_kg,Weight_SD,Height_cm,Height_SD
0,M,3.3,0.16,49.9,1
0,F,3.2,0.16,49.1,0.98
1,M,4.07,0.2,52.85,1.06
1,F,3.87,0.19,51.87,1.04
2,M,4.83,0.24,55.8,1.12
2,F,4.53,0.23,54.63,1.09
3,M,5.6,0.28,58.75,1.18
3,F,5.2,0.26,57.4,1.15
4,M,6.37,0.32,61.7,1.23
4,F,5.87,0.29,60.17,1.2
5,M,7.13,0.36,64.65,1.29
5,F,6.53,0.33,62.93,1.26
6,M,7.9,0.4,67.6,1.35
6,F,7.2,0.36,65.7,1.31
7,M,8.18,0.41,69.02,1.38
7,F,7.48,0.37,67.08,1.34
8,M,8.47,0.42,70.43,1.41
8,F,7.77,0.39,68.47,1.37
9,M,8.75,0.44,71.85,1.44
9,F,8.05,0.4,69.85,1.4
10,M,9.03,0.45,73.27,1.47
10,F,8.33,0.42,71.23,1.42
11,M,9.32,0.47,74.68,1.49
11,F,8.62,0.43,72.62,1.45
12,M,9.6,0.48,76.1,1.52
12,F,8.9,0.45,74,1.48
13,M,9.82,0.49,77.07,1.54
13,F,9.12,0.46,75.03,1.5
14,M,10.03,0.5,78.05,1.56
14,F,9.33,0.47,76.07,1.52
15,M,10.25,0.51,79.02,1.58
15,F,9.55,0.48,77.1,1.54
16,M,10.47,0.52,80,1.6
16,F,9.77,0.49,78.13,1.56
17,M,10.68,0.53,80.97,1.62
17,F,9.98,0.5,79.17,1.58
18,M,10.9,0.54,81.95,1.64
18,F,10.2,0.51,80.2,1.6
19,M,11.12,0.56,82.92,1.66
19,F,10.42,0.52,81.23,1.62
20,M,11.33,0.57,83.9,1.68
20,F,10.63,0.53,82.27,1.65
21,M,11.55,0.58,84.88,1.7
21,F,10.85,0.54,83.3,1.67
22,M,11.77,0.59,85.85,1.72
22,F,11.07,0.55,84.33,1.69
23,M,11.98,0.6,86.82,1.74
23,F,11.28,0.56,85.37,1.71
24,M,12.2,0.61,87.8,1.76
24,F,11.5,0.58,86.4,1.73
25,M,12.38,0.62,88.49,1.77
25,F,11.7,0.58,87.12,1.74
26,M,12.55,0.63,89.18,1.78
26,F,11.9,0.6,87.85,1.76
27,M,12.72,0.64,89.88,1.8
27,F,12.1,0.6,88.58,1.77
28,M,12.9,0.64,90.57,1.81
28,F,12.3,0.62,89.3,1.79
29,M,13.08,0.65,91.26,1.83
29,F,12.5,0.62,90.02,1.8
30,M,13.25,0.66,91.95,1.84
30,F,12.7,0.64,90.75,1.82
31,M,13.42,0.67,92.64,1.85
31,F,12.9,0.64,91.48,1.83
32,M,13.6,0.68,93.33,1.87
32,F,13.1,0.66,92.2,1.84
33,M,13.78,0.69,94.02,1.88
33,F,13.3,0.66,92.92,1.86
34,M,13.95,0.7,94.72,1.89
34,F,13.5,0.68,93.65,1.87
35,M,14.12,0.71,95.41,1.91
35,F,13.7,0.68,94.38,1.89
36,M,14.3,0.72,96.1,1.92
36,F,13.9,0.7,95.1,1.9
37,M,14.47,0.72,96.7,1.93
37,F,14.04,0.7,95.7,1.91
38,M,14.63,0.73,97.3,1.95
38,F,14.18,0.71,96.3,1.93
39,M,14.8,0.74,97.9,1.96
39,F,14.32,0.72,96.9,1.94
40,M,14.97,0.75,98.5,1.97
40,F,14.47,0.72,97.5,1.95
41,M,15.13,0.76,99.1,1.98
41,F,14.61,0.73,98.1,1.96
42,M,15.3,0.77,99.7,1.99
42,F,14.75,0.74,98.7,1.97
43,M,15.47,0.77,100.3,2.01
43,F,14.89,0.74,99.3,1.99
44,M,15.63,0.78,100.9,2.02
44,F,15.03,0.75,99.9,2
45,M,15.8,0.79,101.5,2.03
45,F,15.18,0.76,100.5,2.01
46,M,15.97,0.8,102.1,2.04
46,F,15.32,0.77,101.1,2.02
47,M,16.13,0.81,102.7,2.05
47,F,15.46,0.77,101.7,2.03
48,M,16.3,0.82,103.3,2.07
48,F,15.6,0.78,102.3,2.05
49,M,16.47,0.82,103.86,2.08
49,F,15.78,0.79,102.86,2.06
50,M,16.63,0.83,104.42,2.09
50,F,15.95,0.8,103.42,2.07
51,M,16.8,0.84,104.98,2.1
51,F,16.12,0.81,103.98,2.08
52,M,16.97,0.85,105.53,2.11
52,F,16.3,0.82,104.53,2.09
53,M,17.13,0.86,106.09,2.12
53,F,16.47,0.82,105.09,2.1
54,M,17.3,0.87,106.65,2.13
54,F,16.65,0.83,105.65,2.11
55,M,17.47,0.87,107.21,2.14
55,F,16.82,0.84,106.21,2.12
56,M,17.63,0.88,107.77,2.16
56,F,17,0.85,106.77,2.14
57,M,17.8,0.89,108.32,2.17
57,F,17.18,0.86,107.32,2.15
58,M,17.97,0.9,108.88,2.18
58,F,17.35,0.87,107.88,2.16
59,M,18.13,0.91,109.44,2.19
59,F,17.52,0.88,108.44,2.17
60,M,18.3,0.92,110,2.2
60,F,17.7,0.88,109,2.18
